value,timestamp
0.00,2019-01-13 15:09:05
0.28,2019-01-14 15:06:29
1.12,2019-01-15 15:09:09
0.00,2019-01-16 15:06:53
0.28,2019-01-17 15:07:48
7.54,2019-01-18 15:08:38
0.28,2019-01-19 15:08:26
2.79,2019-01-20 15:06:32
4.75,2019-01-21 15:09:38
12.85,2019-01-22 15:08:21
5.59,2019-01-24 15:05:47
0.00,2019-01-25 15:09:23
0.00,2019-01-26 15:08:53
0.00,2019-01-27 15:05:23
4.47,2019-01-28 15:08:01
1.68,2019-01-29 15:09:12
1.40,2019-02-01 15:05:42
15.09,2019-02-02 15:09:16
9.22,2019-02-03 15:08:52
0.00,2019-02-04 15:06:41
0.00,2019-02-05 15:10:53
0.00,2019-02-06 15:13:33
0.00,2019-02-07 15:12:18
0.00,2019-02-08 15:11:56
0.00,2019-02-09 15:09:33
0.00,2019-02-10 15:10:33
0.28,2019-02-11 15:13:42
0.00,2019-02-20 18:13:28
0.00,2019-02-21 18:16:08
0.00,2019-02-22 18:13:03
0.56,2019-02-23 18:15:40
0.00,2019-02-24 18:16:44
0.00,2019-02-25 18:14:57
0.00,2019-02-26 18:16:04
0.00,2019-02-27 18:12:44
0.00,2019-02-28 18:12:38
0.00,2019-03-01 18:15:20
0.00,2019-03-02 18:15:07
0.00,2019-03-03 18:15:02
0.00,2019-03-04 18:13:50
0.00,2019-03-05 18:14:57
0.00,2019-03-06 18:16:52
0.00,2019-03-07 18:15:02
0.00,2019-03-08 18:16:59
0.00,2019-03-09 18:16:38
0.00,2019-03-10 18:16:45
0.00,2019-03-11 18:13:32
1.40,2019-03-12 18:16:13
1.40,2019-03-13 18:14:09
0.84,2019-03-14 18:17:23
0.00,2019-03-15 18:16:30
0.00,2019-03-16 18:17:06
0.00,2019-03-17 18:13:50
